QUESTION,ANSWER
"Какие документы предоставить при обращении представителя по услуге ""Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты при рождении ребенка (усыновлении в возрасте до шести месяцев) для приобретения предметов детского ассортимента и продуктов детского питания""?","1. Документ, удостоверяющий личность доверенного лица по доверенности  2. Нотариально удостоверенная, приравненная к нотариально удостоверенной или удостоверенная организацией, в которой доверитель работает или учится, или администрацией стационарного лечебного учреждения, в котором он находится на излечении. Или простая письменная доверенность"
Какие документы предоставить при обращении представителя по единовременно компенсационной выплате при рождении ребенка?,"1. Документ, удостоверяющий личность доверенного лица по доверенности  2. Нотариально удостоверенная, приравненная к нотариально удостоверенной или удостоверенная организацией, в которой доверитель работает или учится, или администрацией стационарного лечебного учреждения, в котором он находится на излечении. Или простая письменная доверенность"
"Какие заявления брать у заявителя по услуге ""Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты при рождении ребенка (усыновлении в возрасте до шести месяцев) для приобретения предметов детского ассортимента и продуктов детского питания""?",Заявление о назначении выплаты и заявление на открытие счета и предоставления карты «Детская». Заявление на открытие счета и предоставления карты «Детская»
Какие заявления брать у заявителя по единовременно компенсационной выплате при рождении ребенка?,Заявление о назначении выплаты и заявление на открытие счета и предоставления карты «Детская». Заявление на открытие счета и предоставления карты «Детская»
Какие заявления брать у заявителя по 33 услуге?,Заявление о назначении выплаты и заявление на открытие счета и предоставления карты «Детская». Заявление на открытие счета и предоставления карты «Детская»
Какие заявления брать у заявителя при оформлении детской карте?,Заявление о назначении выплаты и заявление на открытие счета и предоставления карты «Детская». Заявление на открытие счета и предоставления карты «Детская»
"Какие дополнительно документы должен предоставить заявитель по услуге ""Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты при рождении ребенка (усыновлении в возрасте до шести месяцев) для приобретения предметов детского ассортимента и продуктов детского питания""?","1. Справка, подтверждающая постановку на медицинский учет по беременности в срок до 20 недель (включительно). В инживидульном случае: справка, подтверждающая постановку на учет по беременности в срок до 20 недель (включительно) женщины, родившей ребенка (суррогатной матери)
И
документ, выданный медицинской организацией и подтверждающий факт получения согласия женщины, родившей ребенка (суррогатной матери), на запись родителями ребенка лиц, указанных в свидетельстве о рождении ребенка.  2. Документы, содержащие данные органов регистрационного учета заявителя и ребенка (детей) по месту жительства в Санкт-Петербурге. 3. Свидетельство о рождении ребенка, выданное органами ЗАГС РФ;

- свидетельства о рождении предыдущих детей, выданные органами ЗАГС РФ;

- свидетельство о смерти ребенка (в случае смерти предыдущего ребенка), выданное органами ЗАГС РФ;

- документы об установления над ребенком опеки (в отношении детей, находящихся под опекой или попечительством) - выданные на территории РФ. 4. Свидетельства о заключении (расторжении) брака 5. ля подтверждения статуса неполной семьи дополнительно предоставляется следующие документы:
- справка из органов записи актов гражданского состояния, подтверждающая, что сведения об отце ребенка внесены в запись акта о рождении на основании заявления матери ребенка (на детей, у которых единственный родитель имеет статус одинокой матери)

- справка из службы судебных приставов о неисполнении решения суда о взыскании алиментов, соглашения об уплате алиментов;

- справка из Главного управления МВД РФ по г.Санкт-Петербургу и Ленинградской области о выезде гражданина на постоянное место жительство за границу, а также справка из службы судебных приставов о неисполнении решения суда о взыскании алиментов в случае проживания должника в иностранном государстве, с которым у РФ заключен договор о правовой помощи;

- свидетельство о смерти родителя (в случае смерти одного из родителей), выданное органами ЗАГС РФ 6. Согласие на обработку персональных данных лица, не являющегося заявителем (представителем заявителя) 7. СНИЛС"
Какие дополнительно документы должен предоставить заявитель по 33 услуге?,"1. Справка, подтверждающая постановку на медицинский учет по беременности в срок до 20 недель (включительно). В инживидульном случае: справка, подтверждающая постановку на учет по беременности в срок до 20 недель (включительно) женщины, родившей ребенка (суррогатной матери)
И
документ, выданный медицинской организацией и подтверждающий факт получения согласия женщины, родившей ребенка (суррогатной матери), на запись родителями ребенка лиц, указанных в свидетельстве о рождении ребенка.  2. Документы, содержащие данные органов регистрационного учета заявителя и ребенка (детей) по месту жительства в Санкт-Петербурге. 3. Свидетельство о рождении ребенка, выданное органами ЗАГС РФ;

- свидетельства о рождении предыдущих детей, выданные органами ЗАГС РФ;

- свидетельство о смерти ребенка (в случае смерти предыдущего ребенка), выданное органами ЗАГС РФ;

- документы об установления над ребенком опеки (в отношении детей, находящихся под опекой или попечительством) - выданные на территории РФ. 4. Свидетельства о заключении (расторжении) брака 5. ля подтверждения статуса неполной семьи дополнительно предоставляется следующие документы:
- справка из органов записи актов гражданского состояния, подтверждающая, что сведения об отце ребенка внесены в запись акта о рождении на основании заявления матери ребенка (на детей, у которых единственный родитель имеет статус одинокой матери)

- справка из службы судебных приставов о неисполнении решения суда о взыскании алиментов, соглашения об уплате алиментов;

- справка из Главного управления МВД РФ по г.Санкт-Петербургу и Ленинградской области о выезде гражданина на постоянное место жительство за границу, а также справка из службы судебных приставов о неисполнении решения суда о взыскании алиментов в случае проживания должника в иностранном государстве, с которым у РФ заключен договор о правовой помощи;

- свидетельство о смерти родителя (в случае смерти одного из родителей), выданное органами ЗАГС РФ 6. Согласие на обработку персональных данных лица, не являющегося заявителем (представителем заявителя) 7. СНИЛС"
Какие дополнительно документы должен предоставить заявитель по единовременной компенсационной выплате при рождении ребенка?,"1. Справка, подтверждающая постановку на медицинский учет по беременности в срок до 20 недель (включительно). В инживидульном случае: справка, подтверждающая постановку на учет по беременности в срок до 20 недель (включительно) женщины, родившей ребенка (суррогатной матери)
И
документ, выданный медицинской организацией и подтверждающий факт получения согласия женщины, родившей ребенка (суррогатной матери), на запись родителями ребенка лиц, указанных в свидетельстве о рождении ребенка.  2. Документы, содержащие данные органов регистрационного учета заявителя и ребенка (детей) по месту жительства в Санкт-Петербурге. 3. Свидетельство о рождении ребенка, выданное органами ЗАГС РФ;

- свидетельства о рождении предыдущих детей, выданные органами ЗАГС РФ;

- свидетельство о смерти ребенка (в случае смерти предыдущего ребенка), выданное органами ЗАГС РФ;

- документы об установления над ребенком опеки (в отношении детей, находящихся под опекой или попечительством) - выданные на территории РФ. 4. Свидетельства о заключении (расторжении) брака 5. ля подтверждения статуса неполной семьи дополнительно предоставляется следующие документы:
- справка из органов записи актов гражданского состояния, подтверждающая, что сведения об отце ребенка внесены в запись акта о рождении на основании заявления матери ребенка (на детей, у которых единственный родитель имеет статус одинокой матери)

- справка из службы судебных приставов о неисполнении решения суда о взыскании алиментов, соглашения об уплате алиментов;

- справка из Главного управления МВД РФ по г.Санкт-Петербургу и Ленинградской области о выезде гражданина на постоянное место жительство за границу, а также справка из службы судебных приставов о неисполнении решения суда о взыскании алиментов в случае проживания должника в иностранном государстве, с которым у РФ заключен договор о правовой помощи;

- свидетельство о смерти родителя (в случае смерти одного из родителей), выданное органами ЗАГС РФ 6. Согласие на обработку персональных данных лица, не являющегося заявителем (представителем заявителя) 7. СНИЛС"
Какие дополнительно документы должен предоставить заявитель при оформлении детской карты?,"1. Справка, подтверждающая постановку на медицинский учет по беременности в срок до 20 недель (включительно). В инживидульном случае: справка, подтверждающая постановку на учет по беременности в срок до 20 недель (включительно) женщины, родившей ребенка (суррогатной матери)
И
документ, выданный медицинской организацией и подтверждающий факт получения согласия женщины, родившей ребенка (суррогатной матери), на запись родителями ребенка лиц, указанных в свидетельстве о рождении ребенка.  2. Документы, содержащие данные органов регистрационного учета заявителя и ребенка (детей) по месту жительства в Санкт-Петербурге. 3. Свидетельство о рождении ребенка, выданное органами ЗАГС РФ;

- свидетельства о рождении предыдущих детей, выданные органами ЗАГС РФ;

- свидетельство о смерти ребенка (в случае смерти предыдущего ребенка), выданное органами ЗАГС РФ;

- документы об установления над ребенком опеки (в отношении детей, находящихся под опекой или попечительством) - выданные на территории РФ. 4. Свидетельства о заключении (расторжении) брака 5. ля подтверждения статуса неполной семьи дополнительно предоставляется следующие документы:
- справка из органов записи актов гражданского состояния, подтверждающая, что сведения об отце ребенка внесены в запись акта о рождении на основании заявления матери ребенка (на детей, у которых единственный родитель имеет статус одинокой матери)

- справка из службы судебных приставов о неисполнении решения суда о взыскании алиментов, соглашения об уплате алиментов;

- справка из Главного управления МВД РФ по г.Санкт-Петербургу и Ленинградской области о выезде гражданина на постоянное место жительство за границу, а также справка из службы судебных приставов о неисполнении решения суда о взыскании алиментов в случае проживания должника в иностранном государстве, с которым у РФ заключен договор о правовой помощи;

- свидетельство о смерти родителя (в случае смерти одного из родителей), выданное органами ЗАГС РФ 6. Согласие на обработку персональных данных лица, не являющегося заявителем (представителем заявителя) 7. СНИЛС"
"Какие основания для отказа в приеме документов по услуге ""Предоставлять дополнительную меру социальной поддержки в виде единовременной компенсационной выплаты при рождении ребенка (усыновлении в возрасте до шести месяцев) для приобретения предметов детского ассортимента и продуктов детского питания""?"," непредставление заявителем (представителем) документа, удостоверяющего личность, или представление документа, удостоверяющего личность, с истекшим сроком действия или недействительного документа, удостоверяющего личность;
непредставление представителем документов, подтверждающих его полномочия по представлению интересов заявителя"
Какие основания для отказа в приеме документов при оформлении детской карты?," непредставление заявителем (представителем) документа, удостоверяющего личность, или представление документа, удостоверяющего личность, с истекшим сроком действия или недействительного документа, удостоверяющего личность;
непредставление представителем документов, подтверждающих его полномочия по представлению интересов заявителя"
Какие основания для отказа в приеме документов при оформлении 33 услуги?," непредставление заявителем (представителем) документа, удостоверяющего личность, или представление документа, удостоверяющего личность, с истекшим сроком действия или недействительного документа, удостоверяющего личность;
непредставление представителем документов, подтверждающих его полномочия по представлению интересов заявителя"
